Variable,Measure,COU,Country,Year,Value
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2005,635
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2006,545
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2007,564
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2008,649
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2009,667
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2010,648
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2011,678
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2012,664
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2013,736
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2014,712
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2015,838
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2016,867
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,1993,119
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,1994,121
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,1995,108
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,1996,87
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,1997,82
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,1998,79
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,1999,84
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2000,70
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2001,102
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2002,95
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2003,94
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2004,91
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2005,137
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2006,122
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2007,143
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2008,169
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2009,159
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2010,159
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2011,192
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2012,210
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2013,198
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2014,186
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2015,210
Diseases of the blood and blood-forming organs,Number of total deaths,AUT,Austria,2016,199
Diabetes mellitus,Number of total deaths,AUT,Austria,1993,1611
Diabetes mellitus,Number of total deaths,AUT,Austria,1994,1581
Diabetes mellitus,Number of total deaths,AUT,Austria,1995,1776
Diabetes mellitus,Number of total deaths,AUT,Austria,1996,1662
Diabetes mellitus,Number of total deaths,AUT,Austria,1997,1603
Diabetes mellitus,Number of total deaths,AUT,Austria,1998,1397
Diabetes mellitus,Number of total deaths,AUT,Austria,1999,1502
Diabetes mellitus,Number of total deaths,AUT,Austria,2000,1388
Diabetes mellitus,Number of total deaths,AUT,Austria,2001,1460
Diabetes mellitus,Number of total deaths,AUT,Austria,2002,2028
Diabetes mellitus,Number of total deaths,AUT,Austria,2003,3034
Diabetes mellitus,Number of total deaths,AUT,Austria,2004,3760
Diabetes mellitus,Number of total deaths,AUT,Austria,2005,3710
Diabetes mellitus,Number of total deaths,AUT,Austria,2006,3641
Diabetes mellitus,Number of total deaths,AUT,Austria,2007,3115
Diabetes mellitus,Number of total deaths,AUT,Austria,2008,3385
Diabetes mellitus,Number of total deaths,AUT,Austria,2009,3294
Diabetes mellitus,Number of total deaths,AUT,Austria,2010,3011
Diabetes mellitus,Number of total deaths,AUT,Austria,2011,2902
Diabetes mellitus,Number of total deaths,AUT,Austria,2012,2972
Diabetes mellitus,Number of total deaths,AUT,Austria,2013,2872
Diabetes mellitus,Number of total deaths,AUT,Austria,2014,3121
